sample	microcosmID	treatment	replicate	day	OD	ciliate_per_ml	ciliate_per_ml_imp	worm_per_ml	worm_per_ml_imp
H2-d5	H_A	H	A	5	0.626	NA	NA	NA	NA
H3-d5	H_B	H	B	5	0.609	NA	NA	NA	NA
H4-d5	H_C	H	C	5	0.607	NA	NA	NA	NA
H5-d5	H_D	H	D	5	0.606	NA	NA	NA	NA
HN2-d5	HN_A	HN	A	5	0.707	NA	NA	60	60
HN3-d5	HN_B	HN	B	5	0.761	NA	NA	100	100
HN4-d5	HN_C	HN	C	5	0.746	NA	NA	200	200
HN5-d5	HN_D	HN	D	5	0.794	NA	NA	160	160
HPanc2-d5	HPanc_A	HPanc	A	5	0.312	66764	66764	NA	NA
HPanc3-d5	HPanc_B	HPanc	B	5	0.282	80155	80155	NA	NA
HPanc4-d5	HPanc_C	HPanc	C	5	0.305	67896	67896	NA	NA
HPanc5-d5	HPanc_D	HPanc	D	5	0.302	86190	86190	NA	NA
HPevo2-d5	HPevo_A	HPevo	A	5	0.258	60352	60352	NA	NA
HPevo3-d5	HPevo_B	HPevo	B	5	0.269	57900	57900	NA	NA
HPevo4-d5	HPevo_C	HPevo	C	5	0.238	56391	56391	NA	NA
HPevo5-d5	HPevo_D	HPevo	D	5	0.231	64124	64124	NA	NA
HNPanc2-d5	HNPanc_A	HNPanc	A	5	0.291	134660	134660	0	2
HNPanc3-d5	HNPanc_B	HNPanc	B	5	0.295	135981	135981	0	1
HNPanc4-d5	HNPanc_C	HNPanc	C	5	0.284	108634	108634	4	4
HNPanc5-d5	HNPanc_D	HNPanc	D	5	0.286	118441	118441	2	2
HNPevo2-d5	HNPevo_A	HNPevo	A	5	0.274	73177	73177	0	4
HNPevo3-d5	HNPevo_B	HNPevo	B	5	0.278	78458	78458	2	2
HNPevo4-d5	HNPevo_C	HNPevo	C	5	0.275	76006	76006	0	2
HNPevo5-d5	HNPevo_D	HNPevo	D	5	0.284	85247	85247	0	2
H2-d9	H_A	H	A	9	0.639	NA	NA	NA	NA
H3-d9	H_B	H	B	9	0.637	NA	NA	NA	NA
H4-d9	H_C	H	C	9	0.628	NA	NA	NA	NA
H5-d9	H_D	H	D	9	0.631	NA	NA	NA	NA
HN2-d9	HN_A	HN	A	9	0.573	NA	NA	2360	2360
HN3-d9	HN_B	HN	B	9	0.598	NA	NA	1280	1280
HN4-d9	HN_C	HN	C	9	0.551	NA	NA	2840	2840
HN5-d9	HN_D	HN	D	9	0.502	NA	NA	2880	2880
HPanc2-d9	HPanc_A	HPanc	A	9	0.303	5092	5092	NA	NA
HPanc3-d9	HPanc_B	HPanc	B	9	0.283	8487	8487	NA	NA
HPanc4-d9	HPanc_C	HPanc	C	9	0.335	10184	10184	NA	NA
HPanc5-d9	HPanc_D	HPanc	D	9	0.314	9053	9053	NA	NA
HPevo2-d9	HPevo_A	HPevo	A	9	0.321	11316	11316	NA	NA
HPevo3-d9	HPevo_B	HPevo	B	9	0.327	12070	12070	NA	NA
HPevo4-d9	HPevo_C	HPevo	C	9	0.341	14711	14711	NA	NA
HPevo5-d9	HPevo_D	HPevo	D	9	0.347	14899	14899	NA	NA
HNPanc2-d9	HNPanc_A	HNPanc	A	9	0.339	13956	13956	100	100
HNPanc3-d9	HNPanc_B	HNPanc	B	9	0.294	23764	23764	50	50
HNPanc4-d9	HNPanc_C	HNPanc	C	9	0.324	23198	23198	40	40
HNPanc5-d9	HNPanc_D	HNPanc	D	9	0.32	27158	27158	50	50
HNPevo2-d9	HNPevo_A	HNPevo	A	9	0.302	19992	19992	150	150
HNPevo3-d9	HNPevo_B	HNPevo	B	9	0.31	40926	40926	140	140
HNPevo4-d9	HNPevo_C	HNPevo	C	9	0.284	21500	21500	70	70
HNPevo5-d9	HNPevo_D	HNPevo	D	9	0.286	21878	21878	90	90
H2-d13	H_A	H	A	13	0.682	NA	NA	NA	NA
H3-d13	H_B	H	B	13	0.685	NA	NA	NA	NA
H4-d13	H_C	H	C	13	0.692	NA	NA	NA	NA
H5-d13	H_D	H	D	13	0.664	NA	NA	NA	NA
HN2-d13	HN_A	HN	A	13	0.145	NA	NA	6680	6680
HN3-d13	HN_B	HN	B	13	0.164	NA	NA	5000	5000
HN4-d13	HN_C	HN	C	13	0.134	NA	NA	6600	6600
HN5-d13	HN_D	HN	D	13	0.149	NA	NA	6120	6120
HPanc2-d13	HPanc_A	HPanc	A	13	0.215	46018	46018	NA	NA
HPanc3-d13	HPanc_B	HPanc	B	13	0.336	44698	44698	NA	NA
HPanc4-d13	HPanc_C	HPanc	C	13	0.175	21312	21312	NA	NA
HPanc5-d13	HPanc_D	HPanc	D	13	0.158	25272	25272	NA	NA
HPevo2-d13	HPevo_A	HPevo	A	13	0.235	35457	35457	NA	NA
HPevo3-d13	HPevo_B	HPevo	B	13	0.227	39983	39983	NA	NA
HPevo4-d13	HPevo_C	HPevo	C	13	0.231	31685	31685	NA	NA
HPevo5-d13	HPevo_D	HPevo	D	13	0.225	48659	48659	NA	NA
HNPanc2-d13	HNPanc_A	HNPanc	A	13	0.249	2829	2829	520	520
HNPanc3-d13	HNPanc_B	HNPanc	B	13	0.27	4904	4904	680	680
HNPanc4-d13	HNPanc_C	HNPanc	C	13	0.252	6601	6601	480	480
HNPanc5-d13	HNPanc_D	HNPanc	D	13	0.284	6790	6790	400	400
HNPevo2-d13	HNPevo_A	HNPevo	A	13	0.262	5469	5469	280	280
HNPevo3-d13	HNPevo_B	HNPevo	B	13	0.271	10750	10750	40	40
HNPevo4-d13	HNPevo_C	HNPevo	C	13	0.241	22255	22255	70	70
HNPevo5-d13	HNPevo_D	HNPevo	D	13	0.261	14145	14145	100	100
H2-d17	H_A	H	A	17	0.718	NA	NA	NA	NA
H3-d17	H_B	H	B	17	0.726	NA	NA	NA	NA
H4-d17	H_C	H	C	17	0.781	NA	NA	NA	NA
H5-d17	H_D	H	D	17	0.771	NA	NA	NA	NA
HN2-d17	HN_A	HN	A	17	0.114	NA	NA	7992	7992
HN3-d17	HN_B	HN	B	17	0.105	NA	NA	8640	8640
HN4-d17	HN_C	HN	C	17	0.111	NA	NA	7236	7236
HN5-d17	HN_D	HN	D	17	0.11	NA	NA	10368	10368
HPanc2-d17	HPanc_A	HPanc	A	17	0.208	53751	53751	NA	NA
HPanc3-d17	HPanc_B	HPanc	B	17	0.282	65633	65633	NA	NA
HPanc4-d17	HPanc_C	HPanc	C	17	0.269	40926	40926	NA	NA
HPanc5-d17	HPanc_D	HPanc	D	17	0.233	55637	55637	NA	NA
HPevo2-d17	HPevo_A	HPevo	A	17	0.224	61295	61295	NA	NA
HPevo3-d17	HPevo_B	HPevo	B	17	0.176	63935	63935	NA	NA
HPevo4-d17	HPevo_C	HPevo	C	17	0.334	49602	49602	NA	NA
HPevo5-d17	HPevo_D	HPevo	D	17	0.19	66010	66010	NA	NA
HNPanc2-d17	HNPanc_A	HNPanc	A	17	0.237	754	754	1908	1908
HNPanc3-d17	HNPanc_B	HNPanc	B	17	0.185	377	377	2916	2916
HNPanc4-d17	HNPanc_C	HNPanc	C	17	0.189	3395	3395	2808	2808
HNPanc5-d17	HNPanc_D	HNPanc	D	17	0.337	3206	3206	1620	1620
HNPevo2-d17	HNPevo_A	HNPevo	A	17	0.193	28101	28101	900	900
HNPevo3-d17	HNPevo_B	HNPevo	B	17	0.197	29422	29422	180	180
HNPevo4-d17	HNPevo_C	HNPevo	C	17	0.222	20180	20180	108	108
HNPevo5-d17	HNPevo_D	HNPevo	D	17	0.2	50168	50168	180	180
H2-d21	H_A	H	A	21	0.803	NA	NA	NA	NA
H3-d21	H_B	H	B	21	0.806	NA	NA	NA	NA
H4-d21	H_C	H	C	21	0.812	NA	NA	NA	NA
H5-d21	H_D	H	D	21	0.809	NA	NA	NA	NA
HN2-d21	HN_A	HN	A	21	0.19	NA	NA	4840	4840
HN3-d21	HN_B	HN	B	21	0.145	NA	NA	10320	10320
HN4-d21	HN_C	HN	C	21	0.146	NA	NA	8760	8760
HN5-d21	HN_D	HN	D	21	0.115	NA	NA	7520	7520
HPanc2-d21	HPanc_A	HPanc	A	21	0.252	26404	26404	NA	NA
HPanc3-d21	HPanc_B	HPanc	B	21	0.345	50356	50356	NA	NA
HPanc4-d21	HPanc_C	HPanc	C	21	0.208	27536	27536	NA	NA
HPanc5-d21	HPanc_D	HPanc	D	21	0.175	37343	37343	NA	NA
HPevo2-d21	HPevo_A	HPevo	A	21	0.304	28667	28667	NA	NA
HPevo3-d21	HPevo_B	HPevo	B	21	0.24	24895	24895	NA	NA
HPevo4-d21	HPevo_C	HPevo	C	21	0.298	37154	37154	NA	NA
HPevo5-d21	HPevo_D	HPevo	D	21	0.253	37720	37720	NA	NA
HNPanc2-d21	HNPanc_A	HNPanc	A	21	0.182	0	243	7280	7280
HNPanc3-d21	HNPanc_B	HNPanc	B	21	0.185	0	260	5200	5200
HNPanc4-d21	HNPanc_C	HNPanc	C	21	0.168	0	109	6120	6120
HNPanc5-d21	HNPanc_D	HNPanc	D	21	0.167	0	74	5920	5920
HNPevo2-d21	HNPevo_A	HNPevo	A	21	0.201	13202	13202	480	480
HNPevo3-d21	HNPevo_B	HNPevo	B	21	0.214	39417	39417	140	140
HNPevo4-d21	HNPevo_C	HNPevo	C	21	0.239	25838	25838	140	140
HNPevo5-d21	HNPevo_D	HNPevo	D	21	0.226	42246	42246	160	160
H2-d25	H_A	H	A	25	NA	NA	NA	NA	NA
H3-d25	H_B	H	B	25	NA	NA	NA	NA	NA
H4-d25	H_C	H	C	25	NA	NA	NA	NA	NA
H5-d25	H_D	H	D	25	NA	NA	NA	NA	NA
HN2-d25	HN_A	HN	A	25	NA	NA	NA	6880	6880
HN3-d25	HN_B	HN	B	25	NA	NA	NA	5600	5600
HN4-d25	HN_C	HN	C	25	NA	NA	NA	7080	7080
HN5-d25	HN_D	HN	D	25	NA	NA	NA	7320	7320
HPanc2-d25	HPanc_A	HPanc	A	25	NA	39606	39606	NA	NA
HPanc3-d25	HPanc_B	HPanc	B	25	NA	85624	85624	NA	NA
HPanc4-d25	HPanc_C	HPanc	C	25	NA	33571	33571	NA	NA
HPanc5-d25	HPanc_D	HPanc	D	25	NA	71291	71291	NA	NA
HPevo2-d25	HPevo_A	HPevo	A	25	NA	60918	60918	NA	NA
HPevo3-d25	HPevo_B	HPevo	B	25	NA	44510	44510	NA	NA
HPevo4-d25	HPevo_C	HPevo	C	25	NA	59598	59598	NA	NA
HPevo5-d25	HPevo_D	HPevo	D	25	NA	54505	54505	NA	NA
HNPanc2-d25	HNPanc_A	HNPanc	A	25	NA	377	377	NA	NA
HNPanc3-d25	HNPanc_B	HNPanc	B	25	NA	189	189	8600	8600
HNPanc4-d25	HNPanc_C	HNPanc	C	25	NA	189	189	11560	11560
HNPanc5-d25	HNPanc_D	HNPanc	D	25	NA	189	189	8800	8800
HNPevo2-d25	HNPevo_A	HNPevo	A	25	NA	32251	32251	208	208
HNPevo3-d25	HNPevo_B	HNPevo	B	25	NA	40172	40172	24	24
HNPevo4-d25	HNPevo_C	HNPevo	C	25	NA	58089	58089	24	24
HNPevo5-d25	HNPevo_D	HNPevo	D	25	NA	52054	52054	56	56
H2-d29	H_A	H	A	29	0.846	NA	NA	NA	NA
H3-d29	H_B	H	B	29	0.858	NA	NA	NA	NA
H4-d29	H_C	H	C	29	0.828	NA	NA	NA	NA
H5-d29	H_D	H	D	29	0.845	NA	NA	NA	NA
HN2-d29	HN_A	HN	A	29	0.125	NA	NA	11200	11200
HN3-d29	HN_B	HN	B	29	0.128	NA	NA	10600	10600
HN4-d29	HN_C	HN	C	29	0.185	NA	NA	8000	8000
HN5-d29	HN_D	HN	D	29	0.156	NA	NA	9320	9320
HPanc2-d29	HPanc_A	HPanc	A	29	0.257	22066	22066	NA	NA
HPanc3-d29	HPanc_B	HPanc	B	29	0.223	26027	26027	NA	NA
HPanc4-d29	HPanc_C	HPanc	C	29	0.238	24518	24518	NA	NA
HPanc5-d29	HPanc_D	HPanc	D	29	0.245	28479	28479	NA	NA
HPevo2-d29	HPevo_A	HPevo	A	29	0.203	30553	30553	NA	NA
HPevo3-d29	HPevo_B	HPevo	B	29	0.297	44132	44132	NA	NA
HPevo4-d29	HPevo_C	HPevo	C	29	0.323	57712	57712	NA	NA
HPevo5-d29	HPevo_D	HPevo	D	29	0.26	55071	55071	NA	NA
HNPanc2-d29	HNPanc_A	HNPanc	A	29	0.19	0	133	13440	13440
HNPanc3-d29	HNPanc_B	HNPanc	B	29	0.201	0	73	6560	6560
HNPanc4-d29	HNPanc_C	HNPanc	C	29	0.187	0	214	8080	8080
HNPanc5-d29	HNPanc_D	HNPanc	D	29	0.173	0	154	8480	8480
HNPevo2-d29	HNPevo_A	HNPevo	A	29	0.274	49413	49413	68	68
HNPevo3-d29	HNPevo_B	HNPevo	B	29	0.342	47716	47716	8	8
HNPevo4-d29	HNPevo_C	HNPevo	C	29	0.236	44887	44887	32	32
HNPevo5-d29	HNPevo_D	HNPevo	D	29	0.312	77326	77326	16	16
H2-d33	H_A	H	A	33	0.797	NA	NA	NA	NA
H3-d33	H_B	H	B	33	0.793	NA	NA	NA	NA
H4-d33	H_C	H	C	33	0.663	NA	NA	NA	NA
H5-d33	H_D	H	D	33	0.672	NA	NA	NA	NA
HN2-d33	HN_A	HN	A	33	0.158	NA	NA	7320	7320
HN3-d33	HN_B	HN	B	33	0.141	NA	NA	8680	8680
HN4-d33	HN_C	HN	C	33	0.185	NA	NA	4960	4960
HN5-d33	HN_D	HN	D	33	0.218	NA	NA	4720	4720
HPanc2-d33	HPanc_A	HPanc	A	33	0.223	38852	38852	NA	NA
HPanc3-d33	HPanc_B	HPanc	B	33	0.225	61861	61861	NA	NA
HPanc4-d33	HPanc_C	HPanc	C	33	0.251	46584	46584	NA	NA
HPanc5-d33	HPanc_D	HPanc	D	33	0.224	51299	51299	NA	NA
