Species	ANC	EVO	Worm	ANC_BM	EVO_BM	Worm_BM	ANC_IND	EVO_IND	Worm_IND
HAMBI-0006	91334	28666	2400	0.586	0.559	0.546666667	6.41601E-06	1.95005E-05	0.000227778
HAMBI-0097	102666	71334	2266.666666	0.458666667	0.462666667	0.435333333	4.46756E-06	6.48592E-06	0.000192059
HAMBI-0105	42666	666	4200	0	0.007666667	0.405	0	NA	9.64286E-05
HAMBI-0262	110666	44666	6666.666666	0.401	0.36	0.385	3.62352E-06	8.05982E-06	5.775E-05
HAMBI-0403	224000	97000	3066.666666	0.492666667	0.488333333	0.464333333	2.1994E-06	5.03436E-06	0.000151413
HAMBI-1279	192666	60000	3133.333334	0.481666667	0.379	0.472333333	2.50001E-06	6.31667E-06	0.000150745
HAMBI-1287	64000	56000	12266.66667	0.062	0.32	0.406333333	9.6875E-07	5.71429E-06	3.3125E-05
HAMBI-1292	114666	28000	4400	0.439666667	0.128333333	0.471666667	3.83432E-06	4.58333E-06	0.000107197
HAMBI-1299	86666	163000	6800	0.37	0.345333333	0.344666667	4.26926E-06	2.11861E-06	5.06863E-05
HAMBI-1842	133334	64000	6800	0.369666667	0.364333333	0.371666667	2.77249E-06	5.69271E-06	5.46569E-05
HAMBI-1896	131000	10666	12200	0.424666667	0.076	0.438666667	3.24173E-06	7.12545E-06	3.59563E-05
HAMBI-1923	116666	32666	4000	0.283	0.018666667	0.311333333	2.42573E-06	5.7144E-07	7.78333E-05
HAMBI-1972	108000	130000	6600	0.403	0.382333333	0.400666667	3.73148E-06	2.94103E-06	6.07071E-05
HAMBI-1977	179334	60000	8400	0.534333333	0.466333333	0.515333333	2.97954E-06	7.77222E-06	6.13492E-05
HAMBI-1988	78000	5334	1533.333333	0.478	0.009	0.428	6.12821E-06	1.68729E-06	0.00027913
HAMBI-2159	37334	6666	0	0.281	0.359666667	0.013	7.52665E-06	5.39554E-05	NA
HAMBI-2160	244000	2000	4933.333334	0.280333333	0.051833333	0.299666667	1.14891E-06	2.59167E-05	6.07432E-05
HAMBI-2164	136000	26666	7133.333334	0.033	0.123333333	0.182666667	2.42647E-07	4.62512E-06	2.56075E-05
HAMBI-2443	98000	2000	6533.333334	0.419	0.022666667	0.416	4.27551E-06	1.13333E-05	6.36735E-05
HAMBI-2494	83334	233334	266.6666666	0.246666667	0.261	0.038333333	2.95998E-06	1.11857E-06	0.00014375
HAMBI-2659	138000	8666	8333.333334	0.333666667	0.061	0.315666667	2.41787E-06	7.039E-06	3.788E-05
HAMBI-2792	50666	131000	6533.333334	0.370666667	0.357333333	0.350333333	7.31589E-06	2.72774E-06	5.36224E-05
HAMBI-3031	139334	25334	5066.666666	0.353666667	0.084	0.315666667	2.53827E-06	3.3157E-06	6.23026E-05
HAMBI-3237	18666	666	4000	0	0.006	0.387	NA	9.00901E-06	0.00009675